pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad
"HAT-P-13 b",14.25800000,270.46200000,2.91625000000,,,
"WASP-19 b",14.68379000,367.72931000,0.78883960000,,5500.00,0.940000
"HD 235088 b",2.07506422,4.20000000,7.43415100000,753.95,5087.00,0.798400
"TOI-1064 c",2.65100000,2.50000000,12.22657400000,634.00,4734.00,0.726000
"TOI-1751 b",2.77000000,14.50000000,37.46849000000,,5996.00,1.200000
"HAT-P-53 b",14.77346200,471.65972000,1.96162410000,1778.00,5956.00,1.209000
"CoRoT-18 b",14.02245900,1039.30410000,1.90006930000,1490.00,5440.00,0.924000
"HAT-P-42 b",14.34800000,331.80100000,4.64187800000,1428.00,5743.00,1.530000
"TOI-2364 b",8.60849718,71.51139158,4.01975170000,1091.00,5306.00,0.886000
"WASP-50 b",12.89032781,467.20775829,1.95509600000,,5400.00,0.840000
"HAT-P-22 b",12.89035000,785.04010000,3.21222000000,,5302.00,1.110000
"TOI-628 b",11.88154000,2011.86390000,3.40956750000,1586.00,6250.00,1.345000
"KELT-8 b",20.84874000,272.69814000,3.24406000000,,5754.00,1.670000
"TOI-1472 b",4.05800000,18.05000000,6.36338574000,891.00,5100.00,0.840000
"HATS-26 b",19.61575000,206.58950000,3.30238810000,1918.00,6071.00,2.040000
"TOI-1685 b",1.70000000,3.09000000,0.66914060000,1069.00,3434.00,0.492000
"WASP-39 b",14.23543000,87.40325000,4.05529470000,,5400.00,0.895000
"TOI-1696 b",3.09000000,48.80000000,2.50031100000,489.00,3185.00,0.277500
"WASP-18 b",12.39715400,3241.86600000,0.94145230000,,6400.00,1.216000
"TOI-4377 b",15.10970598,304.16178550,4.37808100000,,4974.00,3.520000
"TOI-1899 b",12.89035000,209.76780000,29.02000000000,362.00,3841.00,0.607000
"TOI-1899 b",11.09689089,212.94503269,29.09031200000,378.00,3926.00,0.607000
"WASP-23 b",10.78305800,279.37257000,2.94443000000,,5150.00,0.765000
"WASP-24 b",14.57100000,340.38200000,2.34121242000,,6075.00,1.331000
"K2-19 c",4.51000000,15.90000000,11.90727000000,,5390.00,0.913000
"HD 219666 b",4.71000000,16.60000000,6.03607000000,1073.00,5527.00,1.030000
"HAT-P-9 b",15.69000000,247.90000000,3.92289000000,1530.00,6350.00,1.320000
"HD 89345 b",6.86000000,35.70000000,11.81399000000,1053.00,5499.00,1.657000
"HD 28109 c",4.23000000,7.94300000,56.00819000000,585.20,6120.00,1.446000
"TOI-2337 b",10.08808263,508.52545120,2.99432000000,,4780.00,3.220000
"TOI-5688 A b",10.30000000,124.00000000,2.94815527000,742.00,3713.00,0.570000
"LTT 3780 c",2.39000000,8.04000000,12.25228400000,359.00,3358.00,0.380000
"Kepler-411 d",3.31900000,15.20000000,58.02035000000,410.00,,0.820000
"WASP-47 d",3.58000000,13.30000000,9.03101000000,885.00,5476.00,1.144000
"HATS-4 b",11.43318000,416.03947000,2.51672900000,,5403.00,0.930000
